name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Kwauk, S. Z;Chow-Yang, Kwangtung;1889;Yu Tsai School;1902-3;St. John's University;1903-10;Shanghai;1902-3;Director;Nantungchow;1916;Veterinary Science;University of Pennsylvania;1915-16;Agriculture;_;1910-14;Editor, Nantungchow Agricultural Journal;_;1916;Business Manager;Pennsylvania Chinese Students' Club;1915-16;Station;_;_;1916;_;_;Nantungchow;_;1916;Shepherd of Wisconsin University, 1915-16. Returned to China;_;1915-16;_;_;_
Quo, Tai-Chi;Wusueh, Hupeh;1889;Wuchang;1903-4;Easthampton High School;1905-6;Willeston Seminary;1907-8;Councillor, Ministry of Foreign Affairs;_;1916;Secretary;_;_;Reporter;the Philadelphia Press;1911;Editor;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Franking, T. H;Amoy;1886;Tung-Wen Institute;_;Anglo-Chinese School;_;_;_;Office Assistant, Wilbur Merchantile Agency;Detroit;1913;Councillor-at-Law;Shanghai;1915;Vice-President;Michigan Cosmopolitan Club;1912;oration;_;1913;Teacher: Y.M.C.A. Day School;Shanghai;1913;Attorney;Shanghai;1915;Agent for the Review of Reviews;New York;1912;_;_;_;_;_;_;_;_;_
Huang, Ai-Yu;Canton;1883;Tangshan Railway and Engineering College;_;Tangshan;_;_;_;Department of Public Works;Canton;1912;Assistant Hydraulic Engineer;Canton;1912;Junior Assistant Engineer;Szechuen-Hankow Railway, I-Chang;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hung, C. H;Kwangtung;_;Anglo-Chinese College;_;Tientsin;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Huang, Chin-Tao;Amoy;1888;Anglo-Chinese College;1897-1905;Anglo-Chinese College;1897-1905;Peiyang University;1911;Metallurgical Engineer;Han- yang Iron and Steel Works, Hanyang;1914;Member, American Institute of Mining Engineers;_;1915;Metallurgy;Columbia Universty;1911-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Huang, S. Ken;Shanghai;1881;Boone University;_;St. John's University;_;_;_;Superintendent;Tayeh Iron Mines;1913;Acting;Tayeh Iron Mines;1913;Mining Engineering;Lehigh University;1908-12;Engineer-in-Chief;Pinghsiang Colliery;1914;Mines;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Huang, T. S;Hsianghan, Kwangtung;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hwang, Yung-Liang;Wuwei;1876;University of Nanking;_;the;_;_;_;Assistant Secretary, Ministry of Foreign Affairs;Tientsin;1914-16;Consul-General;Australia;1910- 13;Dean;_;1897-99;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hwang, Yung-Liang;_;_;Baker University;_;Girls' High School;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Whang, Paonan Mienseng;Kwangtung;1893;Queen's College;1900-5;Hongkong;1900-5;Studied;1900-5;Ministry of Agriculture and Commerce;_;_;English Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Chung-Liang;Canton;1856;Lehigh University;1879-83;Shanghai;_;Mining Engineering;1879-83;Managing-Director;Tientsin-Pnkow Railway;1915;Vice- President;Canton-Hankow Railway;1910;Shanghai-Nanking Railway;_;1908-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Hin;Bingte. Kwangtung;1886;Henry V. Noyes Memorial College;1896;Oahu College;1901-7;Canton;1896;Superintendent of Charity;Kwangtung;1912-14;Correspondent;_;1912;Journalism;University of Missouri;1908-10;Prison Inspector;Canton;1912-14;Diplomacy;Yale-Columbia School;1910-11;President, Kwangtung College;Canton;1915;Editor;_;_;Reporter;New China, Honolulu;1903- 7;_;_;_;_;_;_
Wong, James;Canton;1894;Y.M.C.A. School;1907-9;Morton High School;1909-10;Shanghai;1907-9;Instructor in Target Shooting;Highland Military Academy;1911-14;Academy;Highland Military Academy;1910-14;First Lieutenant;_;1914;Varsity Basketball;_;1912-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Kai-Ming;Canton;1887;Canton Christian College;1904-11;Pui-Ching School;1893-1900;Canton Christian College;1904-11;Teacher;Canton Christian College;1914;Instructor, Canton Christian College;Canton;1910-11;Treasurer, Chinese Students' Christian Association;_;1912-13;1914;_;June;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, King-Yat;Sunning, Kwangtung;1884;Mrs. Falconer's School;1899-1900;Queen's College;1900-3;Hongkong;1899-1900;Medical College;Tientsin;1912-16;Medicine;Tufts College;1916;Institute;Hongkong Technical Institute;1909-10;Studied;Mrs. Falconer's School, Hongkong;1899-1900;College;Hongkong;1899-1900;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, K. C;Hsiangshan, Kwangtung;1894;Fu Tan College;_;Shanghai;_;University of Iowa;_;Teacher;Government University, Peking;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wang, K. U;Hupeh;1907;University of Wisconsin;_;Cornell University;_;_;_;Teacher;Fu Tan College, Shanghai;1911-12;President, Government Teachers' College;Tsinan;1912-13;College;University of Wisconsin;1908-11;Commerce;_;1915;China;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, T. T;Shanghai;1874;St. John's University;1892;University of Virginia;1896;Shanghai;1892;Teacher;_;_;Translator;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Vung-Lung;Canton;1888;St. John's University;1901-3;Philips Academy;1907-8;Shanghai;1901-3;Captain, Sub-Divisional Recreation Club;_;1913-15;Civil Engineering;Purdue University;1908-10;Student Engineer;Canton-Hankow Railway;1912;Sub-Editor;Peking Daily News;1910-11;Railway;Canton-Hankow;1912;China;_;1910;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Wing D;Hankow;1888;St. John's University;_;Shanghai;_;_;_;Assistant Engineer;Peking-Mukden Railway;1912-13;Assistant Engineer;Peking-Mukden Railway;1912-13;Assistant Engineer;Peking-Mukden Railway;1912-13;Railway;_;_;Railway;_;_;Civil Engineering;Yale University;1907-10;_;_;_;_;_;_;_;_;_;_;_;_
Wong, Wing-Fooe;Canton;1888;Soule College;1905-8;Cornell University;1909;Business;1905-8;Business Manager, Harvard Medical School, Shanghai, 1914. Actuary and Treasurer;Shanghai;1914;Business Administration;University of Illinois;1910-13;Vice-President;Illinois Chinese Students' Club;1912-13;Actuary;Venus Fire and Marine Assurance Company;1916;Illinois Chinese Students' Club;_;1912-13;Member;Illinois Chinese Students' Club;1912-13;scholarship;_;January, 1907;_;_;_;_;_;_;_;_;_
Wong, Yew-Cheong;Hsiangshan, Kwangtung;1860;elementary schools;_;Hooker Grammar School, Springfield High School and Hartford High School;_;_;_;Ministry of Communications;_;1911-14;Assistant Managing Director;Peking-Hankow Railway, Peking;1914-16;cotton mill;Shanghai;1881-84;Director;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hsu, Tsung-Han;Wuchang, Shantung;1888;Shantung Provincial College;_;University of Illinois;_;_;_;Teacher;_;_;College;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shu, Chu-Shih;Jihchao, Shantung;1885;Shantung University;1902-5;Tsinan;1902-5;Shantung Provincial College;1905-8;Teacher;Government Teachers' College and National Institute, Peking;1916;Department of Ceremonies;President's Office;1915-16;Government Teachers' College;_;1916;Member;Department of Ceremonies;1914;Economics;University of Vermont;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shu, Sawland J;Mienchu, Szechuen;1886;Szechuen Provincial College;_;Chengtu;_;_;_;Director;Waterways Engineering College, Nanking;1915;Student Engineer;General Electric Company;1913;Business Administration;Harvard University;1913-14;President, International Club;_;1912-13;Waterways Engineering College;Nanking;1915;Nanking;_;1915;_;_;_;_;_;_;_;_;_;_;_;_
Loh, Tachuan S. K.;Chingpu, Kiangsu;1886;Nanyang College;1897-1903;Fu Tan College;1909-10;Shanghai;1897-1903;Ministry of Justice;_;1915-16;Editor, Commercial Press;Shanghai;1904-5;Instructor, Changsha School;Shanghai;1905-8;Magistrate;Amoy Mixed Court, Fukien;1916;Member;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Loh, Yuen-Chang;Wuchin, Kiangsu;1890;Soochow Railway College;_;Soochow Literary College;_;_;_;Engineer;Division Engineer's Office, Pennsylvania Railroad Company;_;Division Engineer's Office;Pennsylvania Railroad Company;1914;Professor, Waterways Engineering College, Nanking, 1915. Assistant Superintendent;Nanking;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Low, Hung-Tang;Shanghai;1889;St. John's University;_;Shanghai;_;_;_;Architect's Assistant;Shanghai;1913-14;Architectural Engineering;University of Michigan;1911-15;Structural Engineering;University of Michigan;1915-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lu, Mau-Deh;Shaohsing, Chekiang;1883;Shantung Provincial College;_;Tsinan;_;_;_;Ministry of Education;_;1915;Provincial Middle School;Tsinan;1906-9;Department of Ceremonies;President's Office;1915;Member;Ministry of Education;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lou, Luching Y. T.;Shao-Hsing, Chekiang;1881;Government University;1891-1900;Anglo- Chinese College;1902;Peking;1891-1900;Legal Adviser to the Governor;Tientsin;1912-13;Secretary, Kailan Mining Administration;Tientsin;1911;Delegate to the Panama Pacific International Exposition;Chihli Provincial;1915;China;_;September, 1911;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Mei, Hua-Chuen;Tai-Shan, Kwangtung;1888;New York City College;1901-8;Columbia University;1908-11;Liberal Arts;1901-8;Reporter of Court;Shanghai;1916-17;Court Interpreter;_;1910-15;Law;Shanghai;1911-13;Editor and Secretary;Shanghai;1915-16;Attorney and Counselor at Law;Shanghai;1917;Shanghai;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Mei, Hua-Chuen;Hongkong;1911;McKinley High School;_;University of Cali- fornia;_;_;_;Teacher;St. Paul's School, Canton;1915;Editor;Liu-Mei-Ching-Nien;1914-15;School;McKinley High School;1911;China;_;August, 1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Mei, Y. C.;Tientsin;1889;Chihli Provincial College;_;Nankai School;_;_;_;Teacher of Mathematics;Tsing Hua College;1915;Secretary, Chinese Students' Alliance;_;1912-13;Manager, Chinese Students' Monthly;_;1913-14;Treasurer, Chinese Students' Christian Association;_;1913-14;Student Secretary;Tientsin;1914-15;Treasurer;_;1913-15;_;_;_;_;_;_;_;_;_;_;_;_
Tao, Daqueen;Siang-Yang, Hupeh;1882;Liang-Hu College;_;"Wyoming Seminary, 1903-5; at Denison University";_;_;_;Director of Stamp Tax;_;1914;Director of Hupeh Mint;_;1911;Councillor in the Ministry of Finance;_;1912;Councillor to Viceroy at Wuchang and Dean of Hankow Commercial College;_;1910;Assistant;_;_;Director;_;_;Director of the Bureau of Currency and Banking;_;1914;_;_;_;_;_;_;_;_;_
Tsao, Faung-Yuin;Soochow;1871;Clopton Lambeth School;1883-85;Mission Girls' School;1885-86;Shanghai;1883-85;Teacher;McTyeire School, Shanghai;1902;Teacher in Science;Virginia School, Huchow;1914-15;Educational Director;Shanghai;1912-14;Teacher in Science;Virginia School, Huchow;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsao, Kai-Cheong;Canton;1863;Hartford High School;1877-81;_;_;_;_;Vice-Minister of Navy;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsao, Li-Yuin;Soochow;1885;Mc- Tyiere School;_;Shanghai;_;_;_;Physician;Friends Hospital, Nanking;_;President, Union Nurses Training School;Nanking;1911;Medicine;Forest Park University;1905-7;Teacher in Physiology and Hygiene;King-Ling College, Nanking;1915;Treasurer and Vice- President;_;1910-1911;Charge;Friends Hospital, Nanking;1912;_;_;_;_;_;_;_;_;_;_;_;_
Tsao, Mien;Canton;1880;Western College;1899-1902;Government University, Peking;1903-6;Canton;1899-1902;Professor;Government Teachers' College, Canton;September, 1913;Ministry of Education;Government Teachers' College, Canton;1915;Education;Government Teachers' College;1913-15;Member;Cosmopolitan Club;1910-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsao Yun-Siang;Nanziang, Kiangsu;1881;St. John's University;_;Shanghai;_;_;_;Instructor;St. John's University;1900-3;Assistant;St. John's University;1900-3;Dean;Fu-Yang Middle School, Changchow;1904-5;Association;_;1909-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tu, T. W;Soochow, Kiangsu;1884;Anglo-Chinese School;1897-98;Nanyang College;1898-1905;Soochow;1897-98;Instructor in Civil Engineering;Nanyang University, Shanghai;1912;Assistant Engineer;Canton-Hankow Railway;1914;Resident Engineer;Shanghai- Hangchow-Ningpo;1911;Senior;_;_;Railway Engineering;University of Illinois;1907-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Ye-Fah Francis;Shanghai;1890;St. John's University;_;Shanghai;_;_;_;Assistant Mining Engineer;_;_;Mining Engineer;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Ye-Tsau;Shanghai;1888;St. John's University;1903-9;Cornell University;1910-14;Shanghai;1903-9;Assistant Engineer;Hanyang Iron and Steel Works;1914;Draftsman;Newport News Shipbuild- ing Co;1912;Hanyang Iron and Steel Works;Shanghai;1914;Mechanical Engineering;Cornell University;1910-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng, K. C.;Shanghai;1880;Leland Standford University;1907-9;Ohio Northern University;1909-11;Civil Engineering;1907-9;Instructor in Science;Military and Engineering College, the Shanghai Arsenal;1913-15;Instructor in English;Nanyang College, Shanghai;1915;Translating Editor;Shanghai;1911-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Cheng, K. E;Kwangtung;1895;University of California;_;Economics;_;_;_;Ministry of Communica- tions;_;1912-16;Member;Ministry of Communica- tions;1912;Ministry of Navy;_;1917;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ching, Yue;Waimea, Hawaii;1884;Punahon School;_;Oahu College;_;_;_;Treasurer, Depart- ment of Public Works;Canton;1911-12;English Secretary, Mid-West Chinese Students' Club;_;1906-7;Teacher in English;Canton;1910;Teacher in English;Canton;1910;School;Punahon School, Honolulu;1897-1900;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Dzung, Kenyon Vanlee;Shao-Hsing, Chekiang;1888;Chekiang Provincial College;1905-9;_;_;_;_;Studied Liberal Arts;Columbia University;1911-12;Education;Chekiang Provincial College;1915;China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zung, Yien-Chung;Cheng-Tse, Kiangsu;1888;Fu Tan College;1906-7;St. John's University;1907- 10;Shanghai;1906-7;Translator;Chihli Commercial Museum, Tientsin;1916;Teacher;Government Teachers' College, Mukden;1916;Museum;_;_;Government Teachers' College;Mukden;1916;Chemistry;Cornell University;1910-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Fei, Chi-Hao;Tung-Hsien, Chihli;1879;North China Union College;1890-98;_;_;_;_;Principal;Putung Middle School, Tientsin;1907-8;School;North China Union College;1890-98;President;Chihli Provincial College, Paoting;1908-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Fei, H. J.;Tung-Hsien, Chihli;1886;North China Union College;1908;_;_;_;_;Secretary and Teacher;Peking;1914;business;Peking;At present;College;Tung-Hsien;1915-16;School;Tientsin;1908;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Fei, H. J.;Shanghai;1891;Eliza Yates School;_;"Baptist Missionary Training School, Chicago, 1907; Education at Oberlin College";_;_;_;Kindergarten at National Kindergarten College;_;1913-14;Studied Theology;Baptist Missionary Training School;1907;Education;Oberlin College;1909-12;Baptist Missionary Training School;Chicago;1907;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Foo, Shu;Chungking, Szechuen;1887;Fu Tan College;1907-9;Colorado School of Mines;1910-14;Shanghai;1907-9;Professor of Mining and Metallurgy;Szechuen Institute of Technology;1916;Director, Bureau of Mines;Szechnen;1915;Technology;_;1916;Inspector for Szechuen, Ministry of Finance;_;1915-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Fung, Hing-Kwai;Canton;1904;Cornell University;_;Agriculture;_;_;_;Professor of Biology;Government University, Peking;1913;Ministry of Agriculture and Commerce;_;1916;Librarian of Congress;Washington, D.C;1912;Department of Agriculture;_;1911-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Hou, Moo-Ching;Tan-Yang, Kiangsu;1887;Ching-Kiang Middle School;_;Shun-Tien College;_;_;_;Professor of Technology;Government Teachers' College, Nanking;1916;Teacher in Mathematics;Waterways Engineering College, Nanking;1915-16;New York Ship- building Company;_;1912-13;Editor-in- Chief;Chinese Students' Annual;1913-14;Assistant;New York Ship- building Company;1912-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ke, Kinsun;Chang-Shu, Kiangsu;1883;Nanyang College;1898-1902;University of California;1903-6;Shanghai;1898-1902;Ministry of Foreign Affairs;Peking;1907-8;Superintendent of Customs;Soochow;1911-12;Member;Ministry of Foreign Affairs;1907;Ministry of Finance;Peking;1909-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Shu, C. Y.;Shanghai;1911;McTyeire School;_;Shanghai;_;_;_;Studied Music;Stuart Hall, Virginia;1901-4;Editor;The Inlook;1902-4;Sorority;_;1902;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tang, Shang-Sung;Kiukiang, Kiangsi;1891;William Nast College;_;Baldwin Wallace College;_;_;_;Assistant Engineer;Cleveland Furnace Company;1916;Chemist;_;_;Cleveland Furnace Company;_;1916;Mining and Metallurgical Engineering;Case School of Applied Science;1912-15;Mining Engineering Society, 1914. Secretary, Cleveland Chinese Students Club;_;1913;Vice-President;Pick and Shovel Club;1914-15;_;_;_;_;_;_;_;_;_;_;_;_
Tong;Changsha, Hunan;1880;Hunan Provincial College;_;English at Oberlin College;_;_;_;Editor, Chung Hwa Book Company;_;_;President, Com- mercial College;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsang. K. S;Kwangtung;1886;University of Pennsylvania;_;_;_;_;_;Office of the Cabinet;_;1912;Inspector-General, Ministry of Communications;_;1912;Chief of Railway Materials Division;_;1916;Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wen, Ying-Hsing;Sunning, Kwangtung;1884;Peiyang University;1897-1900;Tientsin;1897-1900;Nanyang College;1901-2;Student Engineer;Canton-Hankow Railway;1903-4;Second Officer;Shanghai;1912;Military Adviser to Kiangsu Military Governor;_;1912-14;Teacher, Military School, Canton, 1910. Member, Board of Military Advisors;Canton;1910;Military Engineering;Virginia Military Institute;1904-5;Railway;Canton-Hankow;1903-4;Academy;_;1905-9;_;_;_;_;_;_;_;_;_
Chiu, Chang-Yueng;Wusih, Kiangsu;1899;Soochow University;1902-9;_;_;_;_;Secretary, Industrial and Commercial Commission;_;1916;Agriculture;University of Wisconsin;1911-13;Commerce;Columbia University;1913-14;National Oil Administration;_;1914-16;Chairman, Chinese Students' Conference;Mid-West Section;1911-12;Secretary, The Senate;_;1916;President, Chinese Students' Alliance, 1912-13. Returned to China;_;1912-13;Member;_;_;_;_;_;_;_;_
Jeme, Tien-Yow;Canton;1861;Chinese Educational Mission School;_;Yale University;1881;Shanghai;_;Director General;Chin Shih;1914;Chief Engineer of various railways;Peking- Kalgan Railway;1888-1912;Assistant Engineer;_;1888-1912;Teacher: Foochow Arsenal Naval School;_;1884;Assistant;_;_;Railway;_;_;Director General;Chin Shih;1914;_;_;_;_;_;_;_;_;_
Kuo, Tuar-Shin;Wusih, Kiaugsn;1888;Commercial School;1906-7;Nanyang College;1910;Shanghai;1906-7;Manager, Chinese Students' Quarterly;_;1913-14;President;Nanking;June, 1915;College of Agriculture and Forestry;Nanking;1915;Treasurer, Cornell Chinese Students' Club;_;1914;Agriculture;Cornell University;1912-15;Chief Manager;Shanghai;1914-15;Agriculture;Cornell University;1912-15;_;_;_;_;_;_;_;_;_
Lay, I-Lun;Pu-Chi, Hupeh;1877;Tzu Chiang High School;_;Wuchang;_;_;_;Assistant Electrical Engineer;Tangshan Locomotive Works, Tangshan;Present;Councillor, Bureau of Industries;Wuchang;1912-13;Director;_;1913;Vice-President;Lehigh Chinese Students' Club;1908-9;Electrical Engineering;Lehigh University;1906-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Loo, Ming-Ying;I-shing, Kiangsu;1889;Soochow Railway College;_;Nanyang College;_;_;_;Teacher in Chemistry and English;Nanching College, Kiang- Yin;1916;Chemical Engineering;Lehigh University;1911-13;Teacher in Chemistry;Seccnd Kiangsu Provincial Institute of Technology;1916;Studied Agriculture;University of Wisconsin;1910-11;Chemical Engineeering and Economics;Columbia University;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsunyoong;Tzu-Chi, Chekiang;1890;Anglo-Chinese College;1905-7;St. John's University;1907-10;Shanghai;1905-7;Teacher;Tsing Hua College, Peking;1915;Agriculture;_;1911-14;College;Shanghai;1905-7;1915;_;_;Treasurer;Cosmopolitan Club;1913;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_
Yu, Robert;Shanghai;1876;St. John's University;_;Studied Medicine at Western Reserve University;_;_;_;Surgeon in Charge;China Inland Mission Hospital, Chefoo;1901-3;Chief Medical Officer;Shantung Hospital, Tsinan;1903-6;China Inland Mission Hospital;Chefoo;1901-3;Chief Medical Officer;Shantung Hospital, Tsinan;1903-6;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Hollington K.;Ningpo, Chekiang;1887;Lowrie High School;_;Anglo-Chinese College;_;_;_;Secretary, National Oil Administration;_;1913-16;Journalism;University of Missouri;1911;correspondent;_;1912;English;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsou, Y. Hsuwen;Soochow, Kiangsu;1884;Government University;1903-7;Peking;1903-7;Studied;1903-7;Professor of Entomology;University of Nanking;1915;College of Agriculture and Forestry;University of Nanking;1915;Associate Editor, Science;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Cho;Shanghai;1887;School of Languages;1901-2;Honan Provincial College;1902-4;Chihli Provincial College;1904-5;Metallurgical Engineer;Hanyang Iron and Steel Works;1913;Mining;Lehigh University;1912-13;Metallurgy;Columbia University;1911-12;Member, American Institute of Mining Engineers;_;1913-14;Works;Hanyang Iron and Steel Works;1913;Member, Membership Committee of American Institute of Mining Engineers;_;1913-14;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Kweeu;Shanghai;1889;St. John's University;1902-9;_;_;_;_;Commerce;_;_;business;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, N. C.;Wu-Chin, Kiangsu;1878;Ad Astra School;_;Wuchang;_;_;_;Commission on the Unification of Railway Accounts and Statistics in the Ministry of Communications;_;1913-14;Translator;Hupeh Translation Department;1902-3;Translator;Hupeh Translation Department;1902-3;President;Government Teachers' College;1913-14;Teacher and Translator;Tsing Hua College;1915;President's Office;_;1913-14;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Pao-Ling;Soochow;1887;Anglo-Chinese College;1895-96;Anglo-Chinese College;1895-96;Shanghai;1895-96;Commissioner of Foreign Affairs;Wuchang;1911;Teacher in Arithmetic;Cheng-Chih School, Chinkiang;1906;Dean of the Department of Civil Engineering;Institute of Technology, Changsha;1913;Surveyor of the Hawi River and the Grand Canal;_;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Pao-Ling;Soochow;1890;Hiroshima Girls' School;_;Japan;_;_;_;Teacher;Tseng-Hua School, Soochow;1911;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Shu-Zek;Sungkiang, Kiangsu;1889;Sungkiang Middle School;1905-8;Nanyang College;1908-10;Tsing Hua College;1911;Assistant Mechanical Engineer;_;_;Teacher in Mechanical Engineering;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Wei-Tsing;Sing-Tsin, Szechuen;1886;Fu Tan College;1910;Tokio;1905-6;Japan;1905-6;Teacher;Szechuen Provincial College, Chengtu;1914-15;Professor;Szechuen Provincial College, Chengtu;September, 1914;Dean of the Deparment of Mining and Metallurgy;Szechuen Institute of Technology;1915;Mining and Metallurgy;Colorado School of Mines;1910-14;College;Fu Tan College;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Yin-Hang;Wusih, Kiangsu;1878;Waseda University;_;_;_;_;_;Chief;Metropolitan High Procuratorate;1910;Metropolitan High Procuratorate;_;1910;China;_;1910;1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yang, Yin-Yueh;Wusih, Kiangsu;_;Nanyang College;_;Universities of Pennsylvania and Wisconsin;_;Shanghai;_;member of the Ministry of Agriculture and Commerce;_;1909;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Young, Edward B.;Hongkong;1881;Iolani School;1892-98;Oahu College;1898-1902;Oahu College;1898-1902;Teacher;St. Elizabeth's Mis- sion School;1904-5;Teacher;St. Elizabeth's Mis- sion School;1904-5;House Surgeon;Grace Hospital;1910-11;Medical Practitioner;Changsha;1916;House Physician;Boulevard Sanitarium;1909-10;Medical Practitioner;Changsha;1916;Surgeon;_;_;School;Iolani School;1892-98;Medicine;Detroit College;1905-9;_;_;_
Young;San Francisco;1886;Mill's Institute;_;Honolulu High School;_;_;_;Mining Engineering;Lehigh University;1908-10;Assistant Engineer;Szechuen-Hankow Railway, I-Chang section;1914;Engineer-in- Chief;Tayeh Iron Mines;1915;Mining Engineer;Lehigh University;1908-10;Railway;_;_;Geology and Mining;Columbia University;1910-11;Engineer;_;_;_;_;_;_;_;_;_;_;_
